Store_ID,Location,Type,Date_Opened
1,Location_1,Urban,2010-01-01
2,Location_2,Suburban,2010-02-01
3,Location_3,Urban,2010-03-01
4,Location_4,Suburban,2010-04-01
5,Location_5,Urban,2010-05-01
6,Location_6,Suburban,2010-06-01
7,Location_7,Urban,2010-07-01
8,Location_8,Suburban,2010-08-01
9,Location_9,Urban,2010-09-01
10,Location_10,Suburban,2010-10-01
11,Location_11,Urban,2010-11-01
12,Location_12,Suburban,2010-12-01
13,Location_13,Urban,2011-01-01
14,Location_14,Suburban,2011-02-01
15,Location_15,Urban,2011-03-01
16,Location_16,Suburban,2011-04-01
17,Location_17,Urban,2011-05-01
18,Location_18,Suburban,2011-06-01
19,Location_19,Urban,2011-07-01
20,Location_20,Suburban,2011-08-01
21,Location_21,Urban,2011-09-01
22,Location_22,Suburban,2011-10-01
23,Location_23,Urban,2011-11-01
24,Location_24,Suburban,2011-12-01
25,Location_25,Urban,2012-01-01
26,Location_26,Suburban,2012-02-01
27,Location_27,Urban,2012-03-01
28,Location_28,Suburban,2012-04-01
29,Location_29,Urban,2012-05-01
30,Location_30,Suburban,2012-06-01
31,Location_31,Urban,2012-07-01
32,Location_32,Suburban,2012-08-01
33,Location_33,Urban,2012-09-01
34,Location_34,Suburban,2012-10-01
35,Location_35,Urban,2012-11-01
36,Location_36,Suburban,2012-12-01
37,Location_37,Urban,2013-01-01
38,Location_38,Suburban,2013-02-01
39,Location_39,Urban,2013-03-01
40,Location_40,Suburban,2013-04-01
41,Location_41,Urban,2013-05-01
42,Location_42,Suburban,2013-06-01
43,Location_43,Urban,2013-07-01
44,Location_44,Suburban,2013-08-01
45,Location_45,Urban,2013-09-01
46,Location_46,Suburban,2013-10-01
47,Location_47,Urban,2013-11-01
48,Location_48,Suburban,2013-12-01
49,Location_49,Urban,2014-01-01
50,Location_50,Suburban,2014-02-01
